#,Keyword,Intent,Volume,KD %,CPC (USD)
1,"what is vastu",I,1600,37,0.17
2,"is vastu real",I,880,22,0.00
3,"is vastu shastra real",I,880,23,0.00
4,"is vastu true",I,880,23,0.00
5,"which direction to sleep as per vastu",I,720,21,0.01
6,"how to check vastu for home entrance",I,590,19,0.04
7,"what is vastu shastra",I,590,22,0.07
8,"where should be kitchen as per vastu",I,590,23,0.01
9,"how to check vastu of house",I,480,10,0.06
10,"is south facing house good according to vastu",I,480,n/a,0.02
11,"is south facing house good as per vastu",I,480,19,0.00
12,"how to check vastu for flat",I,390,17,0.06
13,"which colour is best for kitchen slab according to vastu",I,390,19,0.00
14,"which is best facing house as per vastu",I,390,21,0.03
15,"is west facing house good as per vastu",I,320,17,0.02
16,"where is to keep vastu pyramid in house",I,320,21,0.00
17,"where to keep medicines as per vastu",I,320,24,0.00
18,"which painting is good for bedroom according to vastu",I,320,8,0.05
19,"which side should we sleep according to vastu",I,320,18,0.00
20,"does vastu really work",I,260,15,0.00
21,"how many fish to keep in aquarium as per vastu",I,260,26,0.00
22,"where to keep shoe rack as per vastu",I,260,30,0.01
23,"where to keep tortoise at home according to vastu",I,260,17,0.00
24,"which floor is best according to vastu",C,260,15,0.00
25,"which is the best direction to sleep as per vastu",C,260,22,0.11
26,"which shape of clock according to vastu",I,260,11,0.00
27,"how many doors as per vastu",I,210,11,0.00
28,"how to calculate brahmasthan in vastu",I,210,13,0.00
29,"how to find vastu dosh in house",I,210,21,0.05
30,"where to keep money at home as per vastu",I,210,23,0.00
31,"which colour is best for bedroom according to vastu",I,210,15,0.00
32,"which facing plot is good as per vastu",I,210,11,0.00
33,"which side to sleep vastu",I,210,22,0.00
34,"does vastu really matter",I,170,13,0.00
35,"how to balance five elements in vastu",I,170,0,0.00
36,"how to install vastu copper strip",I,170,13,0.00
37,"how to learn vastu shastra",I,170,18,0.13
38,"how to sleep according to vastu",I,170,21,0.00
39,"how to sleep as per vastu",I,170,21,0.00
40,"is vastu scientific",I,170,19,0.00
41,"where to keep dustbin as per vastu",I,170,5,0.00
42,"where to keep jade plant as per vastu",I,170,5,0.00
43,"where to place fish tank in home as per vastu",I,170,25,0.00
44,"which colour is best for kitchen according to vastu",I,170,11,0.00
45,"which direction should we sleep as per vastu",I,170,23,0.00
46,"how to check vastu of flat online",I,140,8,0.07
47,"how to keep broom according to vastu",I,140,17,0.00
48,"how to keep broom as per vastu",I,140,17,0.00
49,"is north facing house good as per vastu",I,140,22,0.00
50,"is pigeon good for home vastu",I,140,23,0.00
51,"where should be toilet as per vastu",I,140,15,0.00
52,"where to keep lemon in water as per vastu",I,140,23,0.00
53,"where to keep rubber plant as per vastu",n/a,140,n/a,0.00
54,"where to keep shoes as per vastu",I,140,16,0.00
55,"where to place mirror as per vastu",I,140,12,0.01
56,"where to place vastu yantra at home",I,140,11,0.00
57,"where to place wall clock as per vastu",I,140,11,0.01
58,"where to sleep as per vastu",n/a,140,n/a,0.00
59,"which colour is good for bedroom as per vastu",I,140,11,0.00
60,"which direction is best for kitchen as per vastu",I,140,16,0.00
61,"which direction to sleep according to vastu",I,140,24,0.00
62,"which floor is best as per vastu",C,140,9,0.00
63,"which plant is good for home according to vastu",n/a,140,n/a,0.00
64,"which plants are good for home according to vastu",I,140,14,0.01
65,"which side to sleep as per vastu",I,140,26,0.00
66,"which tulsi is best for home as per vastu",n/a,140,n/a,0.00
67,"how to check direction of house vastu",I,110,16,0.02
68,"how to count number of doors as per vastu",I,110,12,0.00
69,"how to find center of house vastu",I,110,27,0.05
70,"how to remove vastu dosh from home",I,110,18,0.04
71,"how to use compass for vastu",I,110,16,0.00
72,"is east facing house good as per vastu",I,110,10,0.00
73,"is vastu applicable for flats",I,110,13,0.00
74,"where to hang dead person photo as per vastu",n/a,110,n/a,0.00
75,"where to keep aloe vera plant in house vastu",n/a,110,n/a,0.00
76,"where to keep locker as per vastu",n/a,110,n/a,0.00
77,"where to keep mirror as per vastu",n/a,110,n/a,0.00
78,"where to keep money as per vastu",n/a,110,n/a,0.00
79,"where to keep tulsi plant at home according to vastu",n/a,110,n/a,0.00
80,"where to keep washing machine as per vastu",n/a,110,n/a,0.00
81,"where to place shoe rack as per vastu",I,110,23,0.01
82,"which direction is best to sleep as per vastu",n/a,110,n/a,0.00
83,"which side should we sleep as per vastu",n/a,110,n/a,0.00
84,"which side to sleep according to vastu",n/a,110,n/a,0.00
85,"which side we should sleep as per vastu",n/a,110,n/a,0.00
86,"where should be bathroom as per vastu",n/a,90,n/a,0.00
87,"where should be pooja room as per vastu",n/a,90,n/a,0.01
88,"where should toilet be as per vastu",n/a,90,n/a,0.00
89,"where should wife sleep according to vastu",n/a,90,n/a,0.00
90,"where to keep almirah as per vastu",n/a,90,n/a,0.00
91,"where to keep bamboo plant in house as per vastu",n/a,90,n/a,0.00
92,"where to keep locker in house as per vastu",n/a,90,n/a,0.00
93,"where to put family photos in home vastu",n/a,90,n/a,0.00
94,"which side bathroom in vastu",n/a,90,n/a,0.00
95,"how to check entrance of house as per vastu",n/a,70,n/a,0.00
96,"how to check vastu",n/a,70,n/a,0.00
97,"how to check vastu directions",n/a,70,n/a,0.02
98,"where to keep clock as per vastu",n/a,70,n/a,0.00
99,"where to keep money plant as per vastu",n/a,70,n/a,0.00
100,"where to keep peacock feather as per vastu",n/a,70,n/a,0.00
101,"which direction we should sleep as per vastu",n/a,70,n/a,0.00
102,"which fish to keep in aquarium as per vastu",n/a,70,n/a,0.00
103,"which side should wife sleep as per vastu",n/a,70,n/a,0.00
104,"who wrote vastu shastra",n/a,70,n/a,0.00
105,"is vastu shastra true",n/a,50,n/a,0.00
106,"what is vastu dosh",n/a,50,n/a,0.00
107,"where to keep fish tank as per vastu",n/a,50,n/a,0.00
108,"where to keep fish tank in house as per vastu",n/a,50,n/a,0.00
109,"where to sleep according to vastu",n/a,50,n/a,0.00
110,"which colour is best for living room according to vastu",n/a,50,n/a,0.00
111,"which direction should we sleep according to vastu",n/a,50,n/a,0.00
112,"how to attract wealth vastu",n/a,40,n/a,0.00
113,"how to calculate room size as per vastu",n/a,40,n/a,0.00
114,"how to find vastu directions for home",n/a,40,n/a,0.01
115,"what is agnikone in vastu",n/a,40,n/a,0.00
116,"what is ishan kon in vastu",n/a,40,n/a,0.00
117,"where to place almirah as per vastu",n/a,40,n/a,0.00
118,"where to place calendar in home as per vastu",n/a,40,n/a,0.00
119,"which color is best for master bedroom as per vastu",n/a,40,n/a,0.01
120,"which side not to sleep as per vastu",n/a,40,n/a,0.00
121,"do foreigners follow vastu",n/a,30,n/a,0.00
122,"does vastu matter for rented house",n/a,30,n/a,0.00
